cve_id,description,av,ac,pr,ui,s,c,i,a
CVE-2023-31506,A cross-site scripting (XSS) vulnerability in Grav versions 1.7.44 and before  allows remote authenticated attackers to execute arbitrary web scripts or HTML via the onmouseover attribute of an ISINDEX element.,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2023-39683,Cross Site Scripting (XSS) vulnerability in EasyEmail v.4.12.2 and before allows a local attacker to execute arbitrary code via the user input parameter(s). NOTE: Researcher claims issue is present in all versions prior and later than tested version.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2024-0229,An out-of-bounds memory access flaw was found in the X.Org server. This issue can be triggered when a device frozen by a sync grab is reattached to a different master device. This issue may lead to an application crash  local privilege escalation (if the server runs with extended privileges)  or remote code execution in SSH X11 forwarding environments.,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25003,KiTTY versions 0.76.1.13 and before is vulnerable to a stack-based buffer overflow via the hostname  occurs due to insufficient bounds checking and input sanitization. This allows an attacker to overwrite adjacent memory  which leads to arbitrary code execution.,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25004,KiTTY versions 0.76.1.13 and before is vulnerable to a stack-based buffer overflow via the username  occurs due to insufficient bounds checking and input sanitization (at line 2600). This allows an attacker to overwrite adjacent memory  which leads to arbitrary code execution.,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2023-46350,SQL injection vulnerability in InnovaDeluxe "Manufacturer or supplier alphabetical search" (idxrmanufacturer) module for PrestaShop versions 2.0.4 and before  allows remote attackers to escalate privileges and obtain sensitive information via the methods IdxrmanufacturerFunctions::getCornersLink  IdxrmanufacturerFunctions::getManufacturersLike and IdxrmanufacturerFunctions::getSuppliersLike.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2023-50026,SQL injection vulnerability in Presta Monster "Multi Accessories Pro" (hsmultiaccessoriespro) module for PrestaShop versions 5.1.1 and before  allows remote attackers to escalate privileges and obtain sensitive information via the method HsAccessoriesGroupProductAbstract::getAccessoriesByIdProducts().,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-23749,KiTTY versions 0.76.1.13 and before is vulnerable to command injection via the filename variable  occurs due to insufficient input sanitization and validation  failure to escape special characters  and insecure system calls (at lines 2369-2390). This allows an attacker to add inputs inside the filename variable  leading to arbitrary code execution.,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-24308,SQL Injection vulnerability in Boostmyshop (boostmyshopagent) module for Prestashop versions 1.1.9 and before  allows remote attackers to escalate privileges and obtain sensitive information via changeOrderCarrier.php  relayPoint.php  and shippingConfirmation.php.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-21762,A out-of-bounds write in Fortinet FortiOS versions 7.4.0 through 7.4.2  7.2.0 through 7.2.6  7.0.0 through 7.0.13  6.4.0 through 6.4.14  6.2.0 through 6.2.15  6.0.0 through 6.0.17  FortiProxy versions 7.4.0 through 7.4.2  7.2.0 through 7.2.8  7.0.0 through 7.0.14  2.0.0 through 2.0.13  1.2.0 through 1.2.13  1.1.0 through 1.1.6  1.0.0 through 1.0.7 allows attacker to execute unauthorized code or commands via specifically crafted requests,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-22119,The cause of vulnerability is improper validation of form input field “Name” on Graph page in Items section.,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2024-25674,An issue was discovered in MISP before 2.4.184. Organisation logo upload is insecure because of a lack of checks for the file extension and MIME type.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25675,An issue was discovered in MISP before 2.4.184. A client does not need to use POST to start an export generation process. This is related to app/Controller/JobsController.php and app/View/Events/export.ctp.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25677,In Min before 1.31.0  local files are not correctly treated as unique security origins  which allows them to improperly request cross-origin resources. For example  a local file may request other local files through an XML document.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25678,In LiteSpeed QUIC (LSQUIC) Library before 4.0.4  DCID validation is mishandled.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25679,In PQUIC before 5bde5bb  retention of unused initial encryption keys allows attackers to disrupt a connection with a PSK configuration by sending a CONNECTION_CLOSE frame that is encrypted via the initial key computed. Network traffic sniffing is needed as part of exploitation.,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,NONE,LOW
CVE-2023-6724,Authorization Bypass Through User-Controlled Key vulnerability in Software Engineering Consultancy Machine Equipment Limited Company Hearing Tracking System allows Authentication Abuse.This issue affects Hearing Tracking System: before for IOS 7.0  for Android Latest release 1.0.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25304,Code-projects Simple School Managment System 1.0 allows SQL Injection via the 'apass' parameter at "School/index.php.",NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25305,Code-projects Simple School Managment System 1.0 allows Authentication Bypass via the username and password parameters at School/index.php.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25306,Code-projects Simple School Managment System 1.0 allows SQL Injection via the 'aname' parameter at "School/index.php".,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25308,Code-projects Simple School Managment System 1.0 allows SQL Injection via the 'name' parameter at School/teacher_login.php.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25309,Code-projects Simple School Managment System 1.0 allows SQL Injection via the 'pass' parameter at School/teacher_login.php.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25312,Code-projects Simple School Managment System 1.0 allows SQL Injection via the 'id' parameter at "School/sub_delete.php?id=5.",NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25313,Code-projects Simple School Managment System 1.0 allows Authentication Bypass via the username and password parameters at School/teacher_login.php.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2023-6677,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Oduyo Financial Technology Online Collection allows SQL Injection.This issue affects Online Collection: before v.1.0.2.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25302,Sourcecodester Event Student Attendance System 1.0  allows SQL Injection via the 'student' parameter.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25307,Code-projects Cinema Seat Reservation System 1.0 allows SQL Injection via the 'id' parameter at "/Cinema-Reservation/booking.php?id=1.",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25310,Code-projects Simple School Managment System 1.0 allows SQL Injection via the 'id' parameter at "School/delete.php?id=5.",NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25314,Code-projects Hotel Managment System 1.0  allows SQL Injection via the 'sid' parameter in Hotel/admin/show.php?sid=2.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25315,Code-projects Hotel Managment System 1.0  allows SQL Injection via the 'rid' parameter in Hotel/admin/roombook.php?rid=2.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25316,Code-projects Hotel Managment System 1.0 allows SQL Injection via the 'eid' parameter in Hotel/admin/usersettingdel.php?eid=2.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25318,Code-projects Hotel Managment System 1.0 allows SQL Injection via the 'pid' parameter in Hotel/admin/print.php?pid=2.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-23319,Mattermost Jira Plugin fails to protect against logout CSRF allowing an attacker to post a specially crafted message that would disconnect a user's Jira connection in Mattermost only by viewing the message.,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,NONE,NONE,LOW
CVE-2024-24774,Mattermost Jira Plugin handling subscriptions fails to check the security level of an incoming issue or limit it based on the user who created the subscription resulting in registered users on Jira being able to create webhooks that give them access to all Jira issues.,NETWORK,LOW,HIGH,NONE,CHANGED,LOW,NONE,NONE
CVE-2024-24776,Mattermost fails to check the required permissions in the POST /api/v4/channels/stats/member_count API resulting in channel member counts being leaked to a user without permissions.,NETWORK,LOW,LOW,NONE,UNCHANGED,LOW,NONE,NONE
CVE-2024-25442,An issue in the HuginBase::PanoramaMemento::loadPTScript function of Hugin v2022.0.0 allows attackers to cause a heap buffer overflow via parsing a crafted image.,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25443,An issue in the HuginBase::ImageVariable<double>::linkWith function of Hugin v2022.0.0 allows attackers to cause a heap-use-after-free via parsing a crafted image.,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25445,Improper handling of values in HuginBase::PTools::Transform::transform of Hugin 2022.0.0 leads to an assertion failure.,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25446,An issue in the HuginBase::PTools::setDestImage function of Hugin v2022.0.0 allows attackers to cause a heap buffer overflow via parsing a crafted image.,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25447,An issue in the imlib_load_image_with_error_return function of imlib2 v1.9.1 allows attackers to cause a heap buffer overflow via parsing a crafted image.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25448,An issue in the imlib_free_image_and_decache function of imlib2 v1.9.1 allows attackers to cause a heap buffer overflow via parsing a crafted image.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25450,imlib2 v1.9.1 was discovered to mishandle memory allocation in the function init_imlib_fonts().,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25451,Bento4 v1.6.0-640 was discovered to contain an out-of-memory bug via the AP4_DataBuffer::ReallocateBuffer() function.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,HIGH
CVE-2024-25452,Bento4 v1.6.0-640 was discovered to contain an out-of-memory bug via the AP4_UrlAtom::AP4_UrlAtom() function.,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,HIGH
CVE-2024-25453,Bento4 v1.6.0-640 was discovered to contain a NULL pointer dereference via the AP4_StszAtom::GetSampleSize() function.,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,HIGH
CVE-2024-25454,Bento4 v1.6.0-640 was discovered to contain a NULL pointer dereference via the AP4_DescriptorFinder::Test() function.,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,HIGH
CVE-2024-1402,Mattermost fails to check if a custom emoji reaction exists when sending it to a post and to limit the amount of custom emojis allowed to be added in a post  allowing an attacker sending a huge amount of non-existent custom emojis in a post to crash the mobile app of a user seeing the post.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,LOW
CVE-2023-50291,Insufficiently Protected Credentials vulnerability in Apache Solr.This issue affects Apache Solr: from 6.0.0 through 8.11.2  from 9.0.0 before 9.3.0.One of the two endpoints that publishes the Solr process' Java system properties  /admin/info/properties  was only setup to hide system properties that had "password" contained in the name.There are a number of sensitive system properties  such as "basicauth" and "aws.secretKey" do not contain "password"  thus their values were published via the "/admin/info/properties" endpoint.This endpoint populates the list of System Properties on the home screen of the Solr Admin page  making the exposed credentials visible in the UI.This /admin/info/properties endpoint is protected under the "config-read" permission.Therefore  Solr Clouds with Authorization enabled will only be vulnerable through logged-in users that have the "config-read" permission.Users are recommended to upgrade to version 9.3.0 or 8.11.3  which fixes the issue.A single option now controls hiding Java system property for all endpoints  "-Dsolr.hiddenSysProps".By default all known sensitive properties are hidden (including "-Dbasicauth")  as well as any property with a name containing "secret" or "password".Users who cannot upgrade can also use the following Java system property to fix the issue:  '-Dsolr.redaction.system.pattern=.*(password|secret|basicauth).*',NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2023-50292,Incorrect Permission Assignment for Critical Resource  Improper Control of Dynamically-Managed Code Resources vulnerability in Apache Solr.This issue affects Apache Solr: from 8.10.0 through 8.11.2  from 9.0.0 before 9.3.0.The Schema Designer was introduced to allow users to more easily configure and test new Schemas and configSets.However  when the feature was created  the "trust" (authentication) of these configSets was not considered.External library loading is only available to configSets that are "trusted" (created by authenticated users)  thus non-authenticated users are unable to perform Remote Code Execution.Since the Schema Designer loaded configSets without taking their "trust" into account  configSets that were created by unauthenticated users were allowed to load external libraries when used in the Schema Designer.Users are recommended to upgrade to version 9.3.0  which fixes the issue.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2023-50298,Exposure of Sensitive Information to an Unauthorized Actor vulnerability in Apache Solr.This issue affects Apache Solr: from 6.0.0 through 8.11.2  from 9.0.0 before 9.4.1.Solr Streaming Expressions allows users to extract data from other Solr Clouds  using a "zkHost" parameter.When original SolrCloud is setup to use ZooKeeper credentials and ACLs  they will be sent to whatever "zkHost" the user provides.An attacker could setup a server to mock ZooKeeper  that accepts ZooKeeper requests with credentials and ACLs and extracts the sensitive information then send a streaming expression using the mock server's address in "zkHost".Streaming Expressions are exposed via the "/streaming" handler  with "read" permissions.Users are recommended to upgrade to version 8.11.3 or 9.4.1  which fix the issue.From these versions on  only zkHost values that have the same server address (regardless of chroot)  will use the given ZooKeeper credentials and ACLs when connecting.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2023-50386,Improper Control of Dynamically-Managed Code Resources  Unrestricted Upload of File with Dangerous Type  Inclusion of Functionality from Untrusted Control Sphere vulnerability in Apache Solr.This issue affects Apache Solr: from 6.0.0 through 8.11.2  from 9.0.0 before 9.4.1.In the affected versions  Solr ConfigSets accepted Java jar and class files to be uploaded through the ConfigSets API.When backing up Solr Collections  these configSet files would be saved to disk when using the LocalFileSystemRepository (the default for backups).If the backup was saved to a directory that Solr uses in its ClassPath/ClassLoaders  then the jar and class files would be available to use with any ConfigSet  trusted or untrusted.When Solr is run in a secure way (Authorization enabled)  as is strongly suggested  this vulnerability is limited to extending the Backup permissions with the ability to add libraries.Users are recommended to upgrade to version 8.11.3 or 9.4.1  which fix the issue.In these versions  the following protections have been added:  *  Users are no longer able to upload files to a configSet that could be executed via a Java ClassLoader.  *  The Backup API restricts saving backups to directories that are used in the ClassLoader.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-1247,Concrete CMS version 9 before 9.2.5 is vulnerable to  stored XSS via the Role Name field since there is insufficient validation of administrator provided data for that field. A rogue administrator could inject malicious code into the Role Name field which might be executed when users visit the affected page. The Concrete CMS Security team scored this 2 with CVSS v3 vector  AV:N/AC:H/PR:H/UI:R/S:U/C:N/I:L/A:N https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator . Concrete versions below 9 do not include group types so they are not affected by this vulnerability.,NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2024-1245,Concrete CMS version 9 before 9.2.5 is vulnerable to stored XSS in file tags and description attributes since administrator entered file attributes are not sufficiently sanitized in the Edit Attributes page. A rogue administrator could put malicious code into the file tags or description attributes and  when another administrator opens the same file for editing  the malicious code could execute. The Concrete CMS Security team scored this 2.4 with CVSS v3 vector AV:N/AC:L/PR:H/UI:R/S:U/C:L/I:N/A:N.,NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2024-1246,Concrete CMS in version 9 before 9.2.5 is vulnerable to reflected XSS via the Image URL Import Feature due to insufficient validation of administrator provided data. A rogue administrator could inject malicious code when importing images  leading to the execution of the malicious code on the website user’s browser. The Concrete CMS Security team scored this 2 with CVSS v3 vector AV:N/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N. This does not affect Concrete versions prior to version 9.,NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2023-50349,Sametime is impacted by a Cross Site Request Forgery (CSRF) vulnerability.  Some REST APIs in the Sametime Proxy application can allow an attacker to perform malicious actions on the application.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2023-45716,Sametime is impacted by sensitive information passed in URL.,PHYSICAL,LOW,LOW,REQUIRED,UNCHANGED,HIGH,NONE,NONE
CVE-2023-45718,Sametime is impacted by a failure to invalidate sessions.  The application is setting sensitive cookie values in a persistent manner in Sametime Web clients. When this happens  cookie values can remain valid even after a user has closed out their session.,PHYSICAL,HIGH,LOW,REQUIRED,UNCHANGED,HIGH,NONE,NONE
CVE-2023-6935,wolfSSL SP Math All RSA implementation is vulnerable to the Marvin Attack  new variation of a timing Bleichenbacher style attack  when built with the following options to configure:--enable-all CFLAGS="-DWOLFSSL_STATIC_RSA"The define “WOLFSSL_STATIC_RSA” enables static RSA cipher suites  which is not recommended  and has been disabled by default since wolfSSL 3.6.6.  Therefore the default build since 3.6.6  even with "--enable-all"  is not vulnerable to the Marvin Attack. The vulnerability is specific to static RSA cipher suites  and expected to be padding-independent.The vulnerability allows an attacker to decrypt ciphertexts and forge signatures after probing with a large number of test observations. However the server’s private key is not exposed.,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2024-1404,A vulnerability was found in Linksys WRT54GL 4.30.18 and classified as problematic. Affected by this issue is some unknown functionality of the file /SysInfo.htm of the component Web Management Interface. The manipulation leads to information disclosure. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-253328. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2024-21624,nonebot2 is a cross-platform Python asynchronous chatbot framework written in Python. This security advisory pertains to a potential information leak (e.g.  environment variables) in instances where developers utilize `MessageTemplate` and incorporate user-provided data into templates. The identified vulnerability has been remedied in pull request #2509 and will be included in versions released from 2.2.0. Users are strongly advised to upgrade to these patched versions to safeguard against the vulnerability. A temporary workaround involves filtering underscores before incorporating user input into the message template.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,NONE,NONE
CVE-2024-23322,Envoy is a high-performance edge/middle/service proxy. Envoy will crash when certain timeouts happen within the same interval. The crash occurs when the following are true: 1. hedge_on_per_try_timeout is enabled  2. per_try_idle_timeout is enabled (it can only be done in configuration)  3. per-try-timeout is enabled  either through headers or configuration and its value is equal  or within the backoff interval of the per_try_idle_timeout. This issue has been addressed in released 1.29.1  1.28.1  1.27.3  and 1.26.7. Users are advised to upgrade. There are no known workarounds for this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2024-23323,Envoy is a high-performance edge/middle/service proxy. The regex expression is compiled for every request and can result in high CPU usage and increased request latency when multiple routes are configured with such matchers. This issue has been addressed in released 1.29.1  1.28.1  1.27.3  and 1.26.7. Users are advised to upgrade. There are no known workarounds for this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,LOW
CVE-2024-23324,Envoy is a high-performance edge/middle/service proxy. External authentication can be bypassed by downstream connections. Downstream clients can force invalid gRPC requests to be sent to ext_authz  circumventing ext_authz checks when failure_mode_allow is set to true. This issue has been addressed in released 1.29.1  1.28.1  1.27.3  and 1.26.7. Users are advised to upgrade. There are no known workarounds for this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2024-23325,Envoy is a high-performance edge/middle/service proxy. Envoy crashes in Proxy protocol when using an address type that isn’t supported by the OS. Envoy is susceptible to crashing on a host with IPv6 disabled and a listener config with proxy protocol enabled when it receives a request where the client presents its IPv6 address.  It is valid for a client to present its IPv6 address to a target server even though the whole chain is connected via IPv4. This issue has been addressed in released 1.29.1  1.28.1  1.27.3  and 1.26.7. Users are advised to upgrade. There are no known workarounds for this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2024-23327,Envoy is a high-performance edge/middle/service proxy. When PPv2 is enabled both on a listener and subsequent cluster  the Envoy instance will segfault when attempting to craft the upstream PPv2 header. This occurs when the downstream request has a command type of LOCAL and does not have the protocol block. This issue has been addressed in releases 1.29.1  1.28.1  1.27.3  and 1.26.7. Users are advised to upgrade. There are no known workarounds for this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2024-24828,pkg is tool design to bundle Node.js projects into an executables. Any native code packages built by `pkg` are written to a hardcoded directory. On unix systems  this is `/tmp/pkg/*` which is a shared directory for all users on the same local system. There is no uniqueness to the package names within this directory  they are predictable. An attacker who has access to the same local system has the ability to replace the genuine executables in the shared directory with malicious executables of the same name. A user may then run the malicious executable without realising it has been modified. This package is deprecated. Therefore  there will not be a patch provided for this vulnerability. To check if your executable build by pkg depends on native code and is vulnerable  run the executable and check if `/tmp/pkg/` was created. Users should transition to actively maintained alternatives. We would recommend investigating Node.js 21’s support for single executable applications. Given the decision to deprecate the pkg package  there are no official workarounds or remediations provided by our team. Users should prioritize migrating to other packages that offer similar functionality with enhanced security.,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-25109,ManageWiki is a MediaWiki extension allowing users to manage wikis. Special:ManageWiki does not escape escape interface messages on the `columns` and `help` keys on the form descriptor. An attacker may exploit this and would have a cross site scripting attack vector. Exploiting this on-wiki requires the `(editinterface)` right. Users should apply the code changes in commits `886cc6b94`  `2ef0f50880`  and `6942e8b2c` to resolve this vulnerability. There are no known workarounds for this vulnerability.,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,NONE
CVE-2023-28077,Dell BSAFE SSL-J  versions prior to 6.5  and versions 7.0 and 7.1 contain a debug message revealing unnecessary information vulnerability. This may lead to disclosing sensitive information to a locally privileged user.,LOCAL,LOW,HIGH,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2023-45696,Sametime is impacted by sensitive fields with autocomplete enabled in the Legacy web chat client. By default  this allows user entered data to be stored by the browser.,PHYSICAL,HIGH,NONE,REQUIRED,UNCHANGED,HIGH,NONE,NONE
CVE-2023-45698,Sametime is impacted by lack of clickjacking protection in Outlook add-in. The application is not implementing appropriate protections in order to protect users from clickjacking attacks.,ADJACENT_NETWORK,HIGH,NONE,REQUIRED,UNCHANGED,HIGH,NONE,NONE
CVE-2024-21490,This affects versions of the package angular from 1.3.0. A regular expression used to split the value of the ng-srcset directive is vulnerable to super-linear runtime due to backtracking. With a large carefully-crafted input  this can result in catastrophic backtracking and cause a denial of service. **Note:**This package is EOL and will not receive any updates to address this issue. Users should migrate to [@angular/core](https://www.npmjs.com/package/@angular/core).,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2024-1405,A vulnerability was found in Linksys WRT54GL 4.30.18. It has been classified as problematic. This affects an unknown part of the file /wlaninfo.htm of the component Web Management Interface. The manipulation leads to information disclosure. The exploit has been disclosed to the public and may be used. The identifier VDB-253329 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,ADJACENT_NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE
